,0,1
3712,29,12
8185,8,4
19500,15,10
5101,18,5
5443,18,7
2677,27,10
11273,17,9
10127,23,10
20309,21,2
8903,22,3
10657,21,5
8087,2,2
4616,25,4
8563,9,5
24205,28,7
8560,9,2
8555,16,2
8557,17,2
8541,1,6
11633,23,7
24066,12,10
390,4,12
8904,16,11
7381,5,6
8921,17,7
4183,10,2
3633,8,3
7576,5,8
15491,31,5
9570,9,2
8561,1,10
6939,11,12
8548,13,1
12637,21,4
11847,27,9
7205,20,11
1510,16,7
16307,6,5
4557,2,4
11247,10,9
543,17,5
3581,28,6
8403,11,10
793,2,7
22664,23,1
3993,22,10
14702,20,10
24431,1,8
8127,15,2
14091,30,6
9157,22,12
8126,18,8
21937,26,5
10936,1,4
10937,20,9
888,9,4
21157,14,2
3153,30,11
7669,11,7
22874,25,1
19649,12,4
9394,17,5
8091,2,1
11634,6,2
9766,24,1
416,24,11
10755,4,7
5788,11,9
16327,16,4
11118,16,12
2552,5,2
5302,8,2
10105,22,10
6139,23,6
581,15,10
5037,8,10
6944,19,11
156,14,11
8729,16,3
6125,25,10
4220,21,5
10045,6,9
13304,2,6
16789,23,4
2311,9,8
8404,7,2
2034,26,9
7209,13,2
15717,6,7
24699,22,10
7315,19,7
13431,17,9
377,18,4
11313,8,11
17005,15,3
16667,21,7
26581,30,7
12332,30,12
313,30,10
13004,28,9
9089,14,2
10487,5,1
1921,14,12
12009,25,4
23657,18,8
13780,10,12
7450,2,4
529,14,9
18602,26,7
7820,29,11
13798,14,11
13677,11,10
7827,27,12
7657,23,10
15140,29,6
13987,10,9
11843,25,4
9429,6,6
10070,10,1
1204,21,5
12006,26,11
14306,21,2
801,7,6
13970,8,10
1742,27,2
2179,14,11
9153,18,8
574,11,1
86,13,7
16278,24,9
113,6,3
120,8,1
7583,8,12
154,22,4
3584,27,9
151,13,7
110,1,1
3181,28,12
15353,12,8
3377,16,12
11010,9,1
6604,3,10
13363,6,2
14993,26,11
5740,20,7
10938,9,10
3705,12,12
3905,13,3
3894,17,7
2306,28,12
5269,10,7
11694,27,12
9085,19,11
12248,24,12
13857,24,11
9696,8,5
15684,2,10
118,16,10
8518,24,11
8751,13,2
7204,23,3
6665,15,4
4152,27,4
4124,4,5
11523,30,4
4129,2,3
9126,3,8
2290,23,5
8552,29,4
585,1,7
2273,12,11
4372,2,10
8739,22,3
11112,1,8
12430,26,10
13853,24,12
21056,4,12
5213,3,5
